Archivo,Línea,Columna,Regla,Severidad,Mensaje
src/generated/prisma/index.d.ts,642,9,@typescript-eslint/no-empty-object-type,Error,"The `{}` (""empty object"") type allows any non-nullish value, including literals like `0` and `""""`.
- If that's what you want, disable this lint rule with an inline comment or configure the 'allowObjectTypes' rule option.
- If you want a type meaning ""any object"", you probably want `object` instead.
- If you want a type meaning ""any value"", you probably want `unknown` instead."
src/generated/prisma/index.d.ts,651,40,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,652,41,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,686,39,@typescript-eslint/no-empty-object-type,Error,"The `{}` (""empty object"") type allows any non-nullish value, including literals like `0` and `""""`.
- If that's what you want, disable this lint rule with an inline comment or configure the 'allowObjectTypes' rule option.
- If you want a type meaning ""any object"", you probably want `object` instead.
- If you want a type meaning ""any value"", you probably want `unknown` instead."
src/generated/prisma/index.d.ts,686,121,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,687,122,@typescript-eslint/no-empty-object-type,Error,"The `{}` (""empty object"") type allows any non-nullish value, including literals like `0` and `""""`.
- If that's what you want, disable this lint rule with an inline comment or configure the 'allowObjectTypes' rule option.
- If you want a type meaning ""any object"", you probably want `object` instead.
- If you want a type meaning ""any value"", you probably want `unknown` instead."
src/generated/prisma/index.d.ts,690,111,@typescript-eslint/no-empty-object-type,Error,"The `{}` (""empty object"") type allows any non-nullish value, including literals like `0` and `""""`.
- If that's what you want, disable this lint rule with an inline comment or configure the 'allowObjectTypes' rule option.
- If you want a type meaning ""any object"", you probably want `object` instead.
- If you want a type meaning ""any value"", you probably want `unknown` instead."
src/generated/prisma/index.d.ts,1146,16,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,1149,71,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,1150,19,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,1153,44,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,1154,19,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,1157,71,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,1158,19,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,1161,44,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,1162,19,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/generated/prisma/index.d.ts,1243,25,@typescript-eslint/no-unnecessary-type-constraint,Error,"Constraining the generic type `T` to `any` does nothing and is unnecessary."
src/generated/prisma/index.d.ts,1243,35,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
